,lab_id,drugA,drugB,ICxx,min_CI,Ca_min,Cb_min,Ca_range_lower,Ca_range_upper,Cb_range_lower,Cb_range_upper
78,10336,I-BET762,TRAMETINIB,0.75,5.34979423868313e-05,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.00018205147944532494
79,10336,NILOTINIB,TRAMETINIB,0.75,0.0004238683127572017,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.00013050045148714826
80,10336,GLESATINIB,TRAMETINIB,0.75,0.0004238683127572017,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
81,10336,BGB324,TRAMETINIB,0.75,0.0004238683127572017,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
82,10336,AXITINIB,TRAMETINIB,0.75,0.003381176171151913,[0.00543099],[0.02838077],0.00411522633744856,1.0,0.02684894273381311,0.029999999999999995
83,10336,SGX-523,TRAMETINIB,0.75,0.0032416428973910485,[0.01319567],[0.00126938],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
84,10336,GILTERITINIB,TRAMETINIB,0.75,0.00012676960441016205,[0.00411523],[0.0001305],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
85,10336,GDC-0032,TRAMETINIB,0.75,0.00045110964144024667,[0.00411523],[0.00039587],0.00411522633744856,1.0,0.00025396648663315527,0.029999999999999995
86,10336,RUXOLITINIB,TRAMETINIB,0.75,0.05441344186534888,[0.00411523],[0.01629498],0.00411522633744856,0.07789982444253317,0.00012345679012345698,0.02684894273381311
87,10336,AZ960,TRAMETINIB,0.75,0.04975757936804554,[0.00513786],[0.02838077],0.00411522633744856,0.5431660740729486,0.001675234218061923,0.029999999999999995
88,10336,FEDRATINIB,TRAMETINIB,0.75,7.302950549412058e-05,[0.00606838],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.008850881520714598
89,10336,LAPATINIB,TRAMETINIB,0.75,0.23519463859263123,[0.00411523],[0.00149928],0.00411522633744856,0.017414723609852887,0.0014992755862156262,0.0026112701231242427
90,10336,THALIDOMIDE,TRAMETINIB,0.75,0.0008200638321655365,[0.00435002],[0.00385062],0.00411522633744856,1.0,0.0010167220390001534,0.005371718300441916
91,10336,STEVIOSIDE,TRAMETINIB,0.75,0.0003314246311928964,[0.00411523],[0.00065227],0.00411522633744856,1.0,0.0004942433194504351,0.0043025417912278
92,20003,HESPERIDIN,TRAMETINIB,0.75,0.0032305171282312685,[0.00411523],[0.03],0.00411522633744856,1.0,0.024028857530785853,0.029999999999999995
