Conc(uM),Cell_Line,Cell_Viability,Plate#
3.123,10292,0.300962,1.4
1.041,10292,0.316346,1.4
0.3123,10292,0.281731,1.4
0.1041,10292,0.332692,1.4
0.03123,10292,0.373077,1.4
0.01041,10292,0.346154,1.4
0.003123,10292,0.324038,1.4
0.001041,10292,0.389423,1.4
0.0003123,10292,0.465385,1.4
0.0001041,10292,0.655769,1.4
3.12E-05,10292,0.791346,1.4
1.04E-05,10292,0.7125,1.4
10.41,10292,0.313603,1.5
3.123,10292,0.367601,1.5
1.041,10292,0.376947,1.5
0.3123,10292,0.360332,1.5
0.1041,10292,0.366563,1.5
0.03123,10292,0.343718,1.5
0.01041,10292,0.327103,1.5
0.003123,10292,0.344756,1.5
0.001041,10292,0.407061,1.5
0.0003123,10292,0.465213,1.5
0.0001041,10292,0.686397,1.5
3.12E-05,10292,0.821391,1.5
1.04E-05,10292,0.923157,1.5
10.41,10292,0.291037,1.6
3.123,10292,0.339376,1.6
1.041,10292,0.319235,1.6
0.3123,10292,0.333333,1.6
0.1041,10292,0.323263,1.6
0.03123,10292,0.372608,1.6
0.01041,10292,0.35146,1.6
0.003123,10292,0.340383,1.6
0.001041,10292,0.390735,1.6
0.0003123,10292,0.51863,1.6
0.0001041,10292,0.72004,1.6
3.12E-05,10292,0.831823,1.6
1.04E-05,10292,0.899295,1.6
